alpha,instance_id,hd_mean,hd_min,hd_max,hd_std,eng_count,bit_count,gs_count,best_energy,best_delta,target_density
0.02,64,3.39,0,14,3.60803270495155,39,39,39,-4992.380000002525,-2.5247572921216488e-09,0.5531004989308624
0.02,65,7.19,0,24,5.7248493429958485,18,18,18,-4928.56000000222,-2.219167072325945e-09,0.5532786885245902
0.02,66,7.84,0,25,5.388357820338214,8,8,8,-4993.980000002418,-2.418346412014216e-09,0.5511404133998574
0.02,67,6.79,0,21,4.980552178222813,13,13,13,-4983.160000002275,-2.2755557438358665e-09,0.5629009265858874
0.02,68,7.91,0,22,5.413122943366425,15,15,15,-4914.060000002403,-2.4028850020840764e-09,0.542943692088382
0.02,69,7.73,0,25,5.5925933161638,14,14,14,-4885.72000000214,-2.1400410332717e-09,0.5518531717747683
0.02,70,0.63,0,5,1.5469647701224487,85,85,85,-5358.800000002955,-2.954948286060244e-09,0.5531004989308624
0.02,71,10.23,0,30,6.225520058597515,6,6,6,-4875.5400000022255,-2.2255335352383554e-09,0.5473984319315752
0.02,72,5.76,0,18,4.407085204531448,18,18,18,-4844.100000002386,-2.3856046027503908e-09,0.5433000712758375
0.02,73,8.82,0,23,5.290330802511313,7,7,7,-5076.200000002475,-2.4747350835241377e-09,0.5584461867426942
0.02,74,7.15,0,25,5.877712139940165,18,18,18,-4787.800000002232,-2.231899998150766e-09,0.5436564504632929
0.02,75,5.87,0,19,4.793026183946839,21,21,21,-4974.840000002464,-2.4638211471028626e-09,0.5548823948681397
0.02,76,4.43,0,17,4.140664197927671,33,33,33,-5029.7400000026455,-2.6457200874574482e-09,0.5473984319315752
0.02,77,1.38,0,9,2.023758878918138,64,64,64,-5296.10000000288,-2.879460225813091e-09,0.5616535994297933
0.02,78,6.76,0,25,5.265206548655048,14,14,14,-5104.040000002308,-2.308297553099692e-09,0.5646828225231646
0.02,79,13.76,0,38,6.622869468742382,1,1,1,-5015.260000002127,-2.1263986127451062e-09,0.5636136849607983
0.02,80,8.58,0,20,4.885038382653712,5,5,5,-5059.380000002314,-2.3137545213103294e-09,0.5637918745545261
0.02,81,5.09,0,23,4.756248521681767,24,24,24,-5083.540000002545,-2.5447661755606532e-09,0.5555951532430506
0.02,82,2.96,0,16,3.3613092687225317,43,43,43,-5185.040000002786,-2.785782271530479e-09,0.5554169636493229
0.02,83,7.52,0,29,5.78529169532531,14,14,14,-5107.120000002418,-2.418346412014216e-09,0.5518531717747683
0.02,84,3.43,0,13,3.2688071218718306,36,36,36,-5019.680000002526,-2.5256667868234217e-09,0.5514967925873129
0.02,85,8.16,0,29,6.233329768269925,16,16,16,-4978.040000002363,-2.3628672352060676e-09,0.5525659301496793
0.02,86,6.41,0,17,4.565292980740667,17,17,17,-5015.240000002353,-2.3528627934865654e-09,0.5605844618674269
0.02,87,3.94,0,15,3.6299311288232454,33,33,33,-5191.34000000271,-2.710294211283326e-09,0.5532786885245902
0.02,88,8.02,0,20,5.143889578908163,12,12,12,-5102.560000002655,-2.6548150344751775e-09,0.5602280826799715
0.02,89,14.82,3,42,7.171303926065329,0,0,0,-4913.2800000021125,0.3399999978873893,0.5502494654312188
0.02,90,8.06,0,28,5.977992974234747,12,12,12,-4975.140000002248,-2.2473614080809057e-09,0.5563079116179616
0.02,91,4.41,0,21,3.9143198642931574,23,23,23,-5123.92000000246,-2.460183168295771e-09,0.5646828225231646
0.02,92,0.24,0,3,0.8138795979750321,92,92,92,-5208.920000002909,-2.9085640562698245e-09,0.5481111903064861
0.02,93,10.08,0,29,6.5691399741518675,8,8,8,-4988.460000002118,-2.11821316042915e-09,0.5646828225231646
0.02,94,5.09,0,17,4.059790634995849,24,24,24,-5079.020000002294,-2.293745637871325e-09,0.5593371347113328
