alpha,instance_id,read_idx,hd,energy,delta_energy,is_target
0.001,0,72,501,-4459.899000000381,33.148999999618354,0
0.001,0,73,456,-4459.502000000388,33.54599999961192,0
0.001,0,74,471,-4459.175000000383,33.872999999616695,0
0.001,0,75,478,-4459.105000000378,33.94299999962186,0
0.001,0,76,487,-4459.08600000038,33.961999999619366,0
0.001,0,77,497,-4459.063000000362,33.984999999637694,0
0.001,0,78,488,-4459.0210000003735,34.02699999962624,0
0.001,0,79,491,-4458.933000000361,34.11499999963871,0
0.001,0,80,527,-4458.680000000368,34.36799999963205,0
0.001,0,81,458,-4458.37600000039,34.6719999996094,0
0.001,0,82,465,-4458.281000000362,34.76699999963785,0
0.001,0,83,465,-4458.273000000394,34.774999999605825,0
0.001,0,84,479,-4458.251000000369,34.796999999631225,0
0.001,0,85,468,-4458.247000000388,34.80099999961203,0
0.001,0,86,490,-4458.115000000362,34.932999999638014,0
0.001,0,87,488,-4457.966000000382,35.08199999961744,0
0.001,0,88,505,-4457.927000000366,35.12099999963357,0
0.001,0,89,498,-4457.047000000361,36.000999999639134,0
0.001,0,90,473,-4456.319000000386,36.728999999613734,0
0.001,0,91,473,-4456.293000000377,36.75499999962267,0
0.001,0,92,466,-4455.277000000387,37.770999999613196,0
0.001,0,93,473,-4455.072000000369,37.9759999996304,0
0.001,0,94,506,-4454.908000000375,38.139999999624706,0
0.001,0,95,517,-4454.675000000371,38.37299999962852,0
0.001,0,96,496,-4453.963000000373,39.08499999962714,0
0.001,0,97,479,-4451.152000000377,41.8959999996232,0
0.001,0,98,476,-4449.231000000374,43.816999999626205,0
0.001,0,99,504,-4448.005000000368,45.04299999963132,0
0.003,0,0,404,-4518.798999999979,24.345000000021173,0
0.003,0,1,448,-4517.724999999978,25.419000000022606,0
0.003,0,2,424,-4517.318999999981,25.825000000018917,0
0.003,0,3,406,-4516.702999999977,26.44100000002345,0
0.003,0,4,416,-4516.504999999986,26.639000000014676,0
0.003,0,5,426,-4516.150999999979,26.99300000002131,0
0.003,0,6,388,-4515.999999999977,27.14400000002297,0
0.003,0,7,420,-4514.268000000001,28.875999999999294,0
0.003,0,8,436,-4513.832999999971,29.3110000000288,0
0.003,0,9,435,-4512.955999999992,30.188000000008287,0
0.003,0,10,363,-4512.830999999996,30.31300000000465,0
0.003,0,11,386,-4512.407999999972,30.73600000002807,0
0.003,0,12,386,-4512.308999999983,30.835000000017317,0
0.003,0,13,428,-4512.102999999977,31.041000000022905,0
0.003,0,14,455,-4512.010999999978,31.133000000022548,0
0.003,0,15,410,-4511.537999999993,31.606000000007043,0
0.003,0,16,422,-4511.195999999981,31.94800000001942,0
0.003,0,17,467,-4510.6539999999795,32.4900000000207,0
0.003,0,18,417,-4510.615999999972,32.52800000002844,0
0.003,0,19,422,-4510.564999999992,32.57900000000791,0
0.003,0,20,413,-4510.501999999986,32.64200000001438,0
0.003,0,21,409,-4510.3819999999905,32.76200000000972,0
0.003,0,22,432,-4510.033999999984,33.11000000001604,0
0.003,0,23,429,-4509.922999999976,33.221000000024105,0
0.003,0,24,436,-4509.902000000004,33.24199999999655,0
0.003,0,25,439,-4509.898999999979,33.24500000002081,0
0.003,0,26,403,-4509.693999999964,33.4500000000362,0
0.003,0,27,412,-4509.552999999978,33.59100000002218,0
0.003,0,28,418,-4509.477999999984,33.66600000001654,0
0.003,0,29,397,-4509.332999999994,33.81100000000606,0
0.003,0,30,423,-4509.25899999998,33.88500000002023,0
0.003,0,31,391,-4509.11099999999,34.03300000001036,0
0.003,0,32,427,-4509.003999999975,34.140000000024884,0
0.003,0,33,431,-4508.973999999978,34.1700000000219,0
0.003,0,34,439,-4508.526999999974,34.617000000026565,0
0.003,0,35,423,-4508.462999999972,34.68100000002778,0
0.003,0,36,421,-4508.174999999961,34.96900000003916,0
0.003,0,37,427,-4508.162999999987,34.98100000001341,0
0.003,0,38,430,-4508.036999999965,35.10700000003544,0
0.003,0,39,432,-4507.718999999977,35.42500000002292,0
0.003,0,40,432,-4507.7129999999715,35.43100000002869,0
0.003,0,41,441,-4507.69199999999,35.45200000001023,0
0.003,0,42,440,-4507.538999999963,35.60500000003685,0
0.003,0,43,447,-4507.535999999982,35.608000000018365,0
0.003,0,44,445,-4507.490999999978,35.653000000022075,0
0.003,0,45,448,-4507.424999999973,35.719000000027336,0
0.003,0,46,420,-4507.31299999999,35.831000000010135,0
0.003,0,47,418,-4507.309999999969,35.834000000031665,0
0.003,0,48,424,-4507.30399999999,35.84000000001015,0
0.003,0,49,426,-4507.240999999979,35.903000000021166,0
0.003,0,50,430,-4507.159999999991,35.98400000000947,0
0.003,0,51,454,-4507.136999999995,36.007000000005064,0
0.003,0,52,426,-4506.943999999989,36.20000000001164,0
0.003,0,53,437,-4506.88999999998,36.254000000019914,0
0.003,0,54,435,-4506.829999999973,36.31400000002759,0
0.003,0,55,415,-4506.729999999996,36.41400000000431,0
0.003,0,56,424,-4506.582999999998,36.56100000000242,0
0.003,0,57,401,-4506.513999999989,36.63000000001102,0
0.003,0,58,420,-4506.441999999971,36.70200000002933,0
0.003,0,59,448,-4506.394999999965,36.74900000003527,0
0.003,0,60,404,-4506.01499999998,37.129000000019914,0
0.003,0,61,431,-4505.955999999969,37.188000000031025,0
0.003,0,62,407,-4505.5859999999675,37.558000000032735,0
0.003,0,63,441,-4505.550999999983,37.59300000001713,0
0.003,0,64,408,-4505.448,37.69599999999991,0
0.003,0,65,456,-4505.2209999999795,37.92300000002069,0
0.003,0,66,434,-4504.7969999999905,38.34700000000976,0
0.003,0,67,422,-4504.324999999968,38.81900000003225,0
0.003,0,68,443,-4503.793999999976,39.35000000002401,0
0.003,0,69,450,-4503.784999999993,39.359000000007654,0
0.003,0,70,435,-4503.733999999979,39.41000000002168,0
0.003,0,71,403,-4503.73299999998,39.41100000002007,0
0.003,0,72,408,-4503.564999999981,39.57900000001882,0
0.003,0,73,448,-4503.538999999989,39.60500000001139,0
0.003,0,74,438,-4503.036999999976,40.10700000002453,0
0.003,0,75,399,-4502.90099999999,40.2430000000104,0
0.003,0,76,439,-4502.7789999999795,40.3650000000207,0
0.003,0,77,442,-4502.775999999995,40.36800000000494,0
0.003,0,78,404,-4502.729999999981,40.41400000001886,0
0.003,0,79,440,-4502.641000000009,40.502999999991516,0
0.003,0,80,421,-4502.417999999983,40.72600000001694,0
0.003,0,81,454,-4502.397999999972,40.74600000002829,0
0.003,0,82,424,-4502.384999999972,40.75900000002821,0
0.003,0,83,449,-4502.340999999977,40.80300000002353,0
0.003,0,84,426,-4502.207999999983,40.936000000016975,0
0.003,0,85,418,-4501.964999999989,41.179000000011,0
0.003,0,86,431,-4501.886999999991,41.25700000000961,0
0.003,0,87,458,-4501.175999999989,41.96800000001167,0
0.003,0,88,429,-4501.04599999998,42.098000000019965,0
0.003,0,89,462,-4501.019999999988,42.12400000001253,0
0.003,0,90,459,-4501.016999999979,42.127000000021326,0
0.003,0,91,413,-4500.753999999987,42.39000000001306,0
0.003,0,92,431,-4500.0909999999785,43.05300000002171,0
0.003,0,93,461,-4499.90899999998,43.23500000002059,0
0.003,0,94,453,-4499.244999999979,43.89900000002126,0
0.003,0,95,444,-4499.105999999982,44.038000000018656,0
0.003,0,96,420,-4498.036999999993,45.10700000000725,0
0.003,0,97,486,-4497.329999999965,45.814000000034866,0
0.003,0,98,431,-4492.988999999977,50.15500000002339,0
0.003,0,99,472,-4490.8399999999865,52.30400000001373,0
0.005,0,0,364,-4563.865000000601,29.374999999398824,0
0.005,0,1,378,-4562.3150000006035,30.924999999396277,0
0.005,0,2,356,-4562.220000000613,31.019999999386528,0
0.005,0,3,380,-4561.195000000597,32.044999999402535,0
0.005,0,4,372,-4560.4950000006065,32.74499999939326,0
0.005,0,5,373,-4560.1900000006035,33.04999999939628,0
0.005,0,6,383,-4560.180000000601,33.059999999399224,0
0.005,0,7,347,-4559.900000000613,33.339999999387146,0
0.005,0,8,382,-4559.865000000596,33.37499999940337,0
0.005,0,9,363,-4559.710000000608,33.5299999993922,0
0.005,0,10,404,-4559.570000000589,33.66999999941072,0
0.005,0,11,384,-4559.225000000606,34.014999999393694,0
0.005,0,12,382,-4559.065000000593,34.17499999940719,0
0.005,0,13,348,-4558.375000000603,34.86499999939679,0
0.005,0,14,350,-4558.290000000613,34.94999999938682,0
0.005,0,15,386,-4558.090000000592,35.149999999407555,0
0.005,0,16,360,-4557.980000000616,35.25999999938358,0
0.005,0,17,354,-4557.475000000613,35.76499999938642,0
0.005,0,18,402,-4557.1350000006,36.104999999400206,0
0.005,0,19,411,-4557.0400000005875,36.199999999412285,0
0.005,0,20,361,-4557.015000000607,36.22499999939282,0
0.005,0,21,367,-4556.880000000606,36.35999999939395,0
0.005,0,22,402,-4556.7600000005805,36.479999999419306,0
0.005,0,23,385,-4556.500000000592,36.7399999994077,0
0.005,0,24,358,-4556.03000000061,37.209999999389765,0
0.005,0,25,380,-4556.000000000595,37.23999999940497,0
0.005,0,26,347,-4555.810000000607,37.42999999939275,0
0.005,0,27,369,-4555.575000000605,37.66499999939515,0
0.005,0,28,374,-4555.365000000592,37.87499999940792,0
0.005,0,29,412,-4555.115000000585,38.124999999415195,0
